Syllabe,Occurrences,Pourcentage
g9l,1,0.02
s9l,4,0.06
jE,4,0.06
pA,4,0.06
vi,85,1.29
mE,10,0.15
vEl,11,0.17
wa,119,1.8
jC,42,0.64
Ze,24,0.36
l9R,57,0.86
HER,1,0.02
jER,89,1.35
RE,35,0.53
te,231,3.49
zi,18,0.27
lE,28,0.42
Re,103,1.56
Ri,97,1.47
doR,2,0.03
kOR,16,0.24
mi,62,0.94
mOl,2,0.03
jOl,4,0.06
ZA,7,0.11
py,2,0.03
ny,53,0.8
nj,21,0.32
je,146,2.21
le,47,0.71
tEs,14,0.21
lA,30,0.45
El,12,0.18
bEl,26,0.39
v2,19,0.29
f2,11,0.17
Rid,4,0.06
vid,13,0.2
te~,36,0.54
REs,60,0.91
ze,38,0.57
mA,125,1.89
pe,22,0.33
waR,96,1.45
R2z,4,0.06
to,17,0.26
Rit,3,0.05
vit,6,0.09
Roz,9,0.14
loz,4,0.06
fe,5,0.08
d9R,9,0.14
nad,6,0.09
lad,4,0.06
REl,9,0.14
ZuR,27,0.41
lCd,4,0.06
fCd,14,0.21
Hi,87,1.32
me~,93,1.41
no,5,0.08
gaR,4,0.06
jA,10,0.15
gER,14,0.21
tER,90,1.36
muR,30,0.45
kuR,5,0.08
de,16,0.24
taS,3,0.05
naS,1,0.02
sA,37,0.56
Riz,6,0.09
liz,4,0.06
we~,8,0.12
ZyR,3,0.05
i,4,0.06
vij,2,0.03
vil,8,0.12
tyn,4,0.06
kyn,4,0.06
j2,136,2.06
ROl,8,0.12
fOl,3,0.05
dus,2,0.03
si,61,0.92
sil,6,0.09
Ryn,2,0.03
yn,2,0.03
do,11,0.17
dA,18,0.27
je~,54,0.82
fas,10,0.15
zad,2,0.03
tiR,14,0.21
buS,7,0.11
se,155,2.34
gAs,4,0.06
jAs,18,0.27
Ras,8,0.12
RC,18,0.27
dC,4,0.06
En,6,0.09
REn,8,0.12
fam,40,0.6
am,21,0.32
mEs,1,0.02
jaR,5,0.08
kaR,2,0.03
lam,28,0.42
m9R,7,0.11
kOm,4,0.06
Om,6,0.09
vA,22,0.33
Se,41,0.62
tAd,1,0.02
paR,6,0.09
sid,3,0.05
tiv,3,0.05
Riv,8,0.12
myR,7,0.11
syR,9,0.14
tik,20,0.3
di,33,0.5
Raj,8,0.12
dy,35,0.53
ba,32,0.48
pa,68,1.03
dOn,8,0.12
bOn,4,0.06
ku,3,0.05
Ry,10,0.15
li,56,0.85
RiR,85,1.29
tC,9,0.14
gal,5,0.08
dal,4,0.06
RAZ,4,0.06
mAZ,1,0.02
t2,7,0.11
R2,16,0.24
ne,91,1.38
tA,44,0.67
va,4,0.06
Ra,44,0.67
lo,22,0.33
Rad,3,0.05
ad,2,0.03
vy,9,0.14
sCZ,7,0.11
zC,23,0.35
ziR,12,0.18
RAS,1,0.02
p9R,2,0.03
kut,1,0.02
REv,7,0.11
SEv,2,0.03
biz,1,0.02
kC,1,0.02
bal,2,0.03
miR,14,0.21
lyn,4,0.06
tom,1,0.02
dom,2,0.03
RAs,44,0.67
RAp,1,0.02
lAp,1,0.02
pas,5,0.08
me,74,1.12
Ed,3,0.05
lEd,1,0.02
ji,11,0.17
ke,7,0.11
poz,5,0.08
Soz,8,0.12
AZ,4,0.06
ni,67,1.01
ly,13,0.2
dAt,5,0.08
kuS,6,0.09
m2,3,0.05
was,2,0.03
kyR,7,0.11
pyR,9,0.14
tCb,8,0.12
Zi,11,0.17
lAs,29,0.44
zaZ,17,0.26
laZ,5,0.08
tyR,31,0.47
lOm,4,0.06
ZAs,5,0.08
tEl,43,0.65
dEl,13,0.2
las,9,0.14
sE,10,0.15
Rom,5,0.08
dam,6,0.09
lEv,4,0.06
pER,27,0.41
lER,15,0.23
jEn,12,0.18
vEn,7,0.11
nOm,1,0.02
pE,1,0.02
Re~,11,0.17
d2,10,0.15
sal,1,0.02
pal,3,0.05
lC,14,0.21
taR,7,0.11
jAt,3,0.05
ve,19,0.29
pi,12,0.18
s9j,1,0.02
d9j,3,0.05
se~t,11,0.17
bil,7,0.11
kil,8,0.12
nu,17,0.26
tAt,6,0.09
lAt,16,0.24
ka,7,0.11
la,25,0.38
jEl,7,0.11
sEl,10,0.15
pEl,6,0.09
be,10,0.15
pEn,17,0.26
lEs,6,0.09
RA,19,0.29
jaZ,6,0.09
vu,14,0.21
du,9,0.14
Zu,1,0.02
sOn,7,0.11
g9R,4,0.06
man,2,0.03
tan,4,0.06
n9R,17,0.26
mEn,27,0.41
lEn,10,0.15
mCd,20,0.3
kEl,7,0.11
ty,20,0.3
bEn,2,0.03
Si,3,0.05
fC,10,0.15
Za,1,0.02
Ha,4,0.06
sAd,1,0.02
RAt,9,0.14
mAt,12,0.18
kad,2,0.03
ti,19,0.29
pid,10,0.15
ta,4,0.06
mAs,26,0.39
RER,9,0.14
tE,10,0.15
lEj,7,0.11
mEj,10,0.15
fER,30,0.45
pu,5,0.08
dit,1,0.02
j9R,5,0.08
val,2,0.03
div,1,0.02
mER,37,0.56
mij,13,0.2
Rij,3,0.05
niz,1,0.02
nEz,2,0.03
vEz,1,0.02
REj,10,0.15
fik,4,0.06
dOR,9,0.14
